isPractice,frame,x,y,Participant,StudyID,SessionID
1,479,424.0703125,-12.578125,anonymous,na,na
1,480,446.6367188,-12.40625,anonymous,na,na
1,481,454.6992188,-12.40625,anonymous,na,na
1,482,461.5585938,-12.57421875,anonymous,na,na
1,483,463.2226563,-12.58984375,anonymous,na,na
1,484,463.578125,-12.62109375,anonymous,na,na
1,485,463.578125,-12.62109375,anonymous,na,na
1,486,463.578125,-12.62109375,anonymous,na,na
1,487,462.890625,-12.54296875,anonymous,na,na
1,488,458.9804688,-12.30859375,anonymous,na,na
1,489,445.4375,-12.20703125,anonymous,na,na
1,490,398.1640625,-13.31640625,anonymous,na,na
1,491,287.4804688,-17.8046875,anonymous,na,na
1,492,174.3867188,-22.8984375,anonymous,na,na
1,493,-33.265625,-34.10546875,anonymous,na,na
1,494,-160.453125,-42.58203125,anonymous,na,na
1,495,-328.5859375,-57.5078125,anonymous,na,na
1,496,-414.0742188,-64.9140625,anonymous,na,na
1,497,-490.59375,-71.921875,anonymous,na,na
1,498,-533.6914063,-76.05078125,anonymous,na,na
1,499,-538.8203125,-76.55078125,anonymous,na,na
1,500,-541.5703125,-76.55078125,anonymous,na,na
1,501,-541.6289063,-76.55078125,anonymous,na,na
1,502,-541.6289063,-76.55078125,anonymous,na,na
1,503,-541.6289063,-76.55078125,anonymous,na,na
1,504,-541.3359375,-76.55078125,anonymous,na,na
1,505,-538.7695313,-76.67578125,anonymous,na,na
1,506,-528.8945313,-77.25,anonymous,na,na
1,507,-508.015625,-77.40234375,anonymous,na,na
1,508,-439.4335938,-76.7421875,anonymous,na,na
1,509,-362.9257813,-74.06640625,anonymous,na,na
1,510,-219.2578125,-68.66015625,anonymous,na,na
1,511,-94.7734375,-61.65625,anonymous,na,na
1,512,-18.36328125,-57.48046875,anonymous,na,na
1,513,97.7890625,-52.9609375,anonymous,na,na
1,514,176.7734375,-50.55078125,anonymous,na,na
1,515,248.9296875,-47.22265625,anonymous,na,na
1,516,304.8515625,-45.33203125,anonymous,na,na
1,517,325.8710938,-45.13671875,anonymous,na,na
1,518,348.453125,-45.13671875,anonymous,na,na
1,519,353.6445313,-45.13671875,anonymous,na,na
1,520,353.6445313,-45.13671875,anonymous,na,na
1,521,353.6445313,-45.13671875,anonymous,na,na
1,522,353.6445313,-45.13671875,anonymous,na,na
1,523,353.7578125,-45.19140625,anonymous,na,na
1,524,353.9101563,-45.2578125,anonymous,na,na
1,525,353.921875,-45.2578125,anonymous,na,na
1,526,353.921875,-45.2578125,anonymous,na,na
1,527,353.921875,-45.2578125,anonymous,na,na
1,528,349.8125,-44.77734375,anonymous,na,na
1,529,327.6835938,-43.296875,anonymous,na,na
1,530,268.734375,-45.33984375,anonymous,na,na
1,531,122.8320313,-56,anonymous,na,na
1,532,-58.9609375,-71.89453125,anonymous,na,na
1,533,-248.9296875,-90.58984375,anonymous,na,na
1,534,-495.1132813,-113.8359375,anonymous,na,na
1,535,-629.1679688,-127.8554688,anonymous,na,na
1,536,-745.3125,-139.328125,anonymous,na,na
1,537,-796.2773438,-144.4765625,anonymous,na,na
1,538,-796.3125,-144.4765625,anonymous,na,na
1,539,-796.4492188,-144.4804688,anonymous,na,na
1,540,-164.9960938,-7.29296875,anonymous,na,na
1,541,-166.609375,-7.01171875,anonymous,na,na
1,542,-167.2578125,-6.8828125,anonymous,na,na
1,543,-167.6328125,-6.5078125,anonymous,na,na
1,544,-167.7734375,-5.1015625,anonymous,na,na
1,545,-167.6054688,-3.328125,anonymous,na,na
1,546,-167.4492188,-3.01953125,anonymous,na,na
1,547,-167.109375,-2.62109375,anonymous,na,na
1,548,-166.34375,-1.71484375,anonymous,na,na
1,549,-164.8007813,0.0234375,anonymous,na,na
